397,-397,514
395,-395,512
397,-397,514
397,-397,514
397,-397,514
397,-397,514
398,-398,515
201,-604,516
201,-602,514
201,-603,515
201,-602,514
201,-602,514
201,-603,515
201,-603,515
201,-603,515
201,-603,515
201,-603,515
201,-603,515
201,-604,516
196,-393,517
196,-393,517
201,-603,515
202,-606,517
201,-604,516
201,-603,515
202,-606,517
202,-607,518
0,-605,519
0,-602,517
0,-603,518
0,-602,517
201,-604,516
202,-607,518
0,-392,518
0,-392,519
0,-392,518
0,-392,518
197,-394,518
196,-392,516
0,-603,518
0,-603,518
-429,-858,518
-430,-860,519
-668,-891,521
-665,-886,518
198,-396,521
196,-393,517
1109,-222,515
1115,-223,518
1115,-223,518
1115,-223,518
636,-636,518
637,-637,519
410,-615,516
411,-617,518
0,-602,517
0,-603,518
-203,-608,519
-202,-607,518
-411,-617,518
-414,-621,521
-637,-637,519
-636,-636,518
-636,-636,518
-636,-636,518
-636,-636,518
-636,-636,518
-636,-636,518
-636,-636,518
-636,-636,518
-636,-636,518
-639,-639,521
-637,-637,519
-617,-411,518
-616,-411,517
-636,-636,518
-636,-636,518
-858,-429,518
-858,-429,518
-636,-636,518
-636,-636,518
-634,-634,517
-636,-636,518
-636,-636,518
-637,-637,519
-414,-621,521
-411,-616,517
-411,-616,517
-411,-616,517
-411,-617,518
-411,-617,518
-636,-636,518
-636,-636,518
-636,-636,518
-636,-636,518
-633,-633,516
-639,-639,521
-412,-618,519
-414,-621,521
-414,-621,521
