-849,-212,522
-847,-212,521
-849,-212,522
-850,-213,523
-847,-212,521
-397,-198,522
-397,-198,522
-396,-198,521
-396,-198,521
-396,-198,521
-396,-198,521
-195,0,523
-194,0,521
-194,0,521
-194,0,522
-193,0,518
-194,0,522
0,0,519
0,0,518
192,0,515
191,0,514
192,0,517
192,0,517
192,0,517
192,0,516
192,0,515
192,0,515
192,0,515
193,0,518
192,0,517
192,0,517
192,0,517
192,0,517
192,0,516
192,0,517
192,0,517
191,0,514
192,0,515
192,0,516
192,0,517
193,0,519
193,0,518
193,0,518
192,0,517
192,0,516
192,0,517
192,0,515
-389,0,515
-390,0,516
-390,0,516
-389,0,515
192,0,516
192,0,517
192,0,517
192,0,517
192,0,517
191,0,514
193,-193,515
193,-193,515
192,0,517
191,0,514
192,0,515
192,0,516
390,0,516
389,0,514
389,0,514
389,0,514
390,0,516
389,0,514
389,0,515
389,0,515
390,0,516
389,0,514
389,0,514
389,0,514
389,0,514
390,0,516
389,0,514
390,0,516
390,0,516
390,0,516
390,0,516
389,0,514
389,0,514
389,0,514
386,0,511
389,0,515
389,0,514
389,0,514
387,0,512
389,0,514
387,0,512
387,0,512
387,0,512
390,0,516
390,0,516
387,0,512
389,0,515
389,0,514
389,0,515
